MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
26017833,S,RESI,3410 35th Ave W,WA,"$579,950",2.0,"2,160",06/02/2006,700,Seattle,24.0,3
26034976,S,COND,2152 7th Ave W #B,WA,"$364,900",1.5,900,06/02/2006,700,Seattle,36.0,2
26060775,S,COND,1526 Aurora Ave N #D,WA,"$257,950",1.0,950,06/03/2006,700,Seattle,37.0,1
26060818,S,COND,2400 Aurora Ave N #201,WA,"$750,000",2.5,"2,517",06/05/2006,700,Seattle,132.0,3
26073537,S,RESI,1937 4th Ave W,WA,"$650,000",1.75,"1,550",06/05/2006,700,Seattle,41.0,3
26068388,S,COND,123 Queen Anne Ave N #211,WA,"$277,500",1.0,658,06/05/2006,700,Seattle,7.0,1
26011814,S,COND,2200 Thorndyke Ave W #302,WA,"$239,990",1.0,555,06/05/2006,700,Seattle,117.0,1
25163299,S,RESI,4508 W Ruffner,WA,"$780,000",3.5,"3,700",06/06/2006,700,Seattle,149.0,5
26047427,S,RESI,2520 Montavista Place W,WA,"$859,000",2.5,"2,920",06/07/2006,700,Seattle,34.0,3
26046612,S,RESI,3208 W Dravus St,WA,"$665,000",2.0,"2,160",06/07/2006,700,Seattle,33.0,4
26067950,S,RESI,1023 W Ruffner St,WA,"$503,000",1.75,"1,330",06/07/2006,700,Seattle,8.0,2
26041906,S,COND,120 1st Ave W #301,WA,"$390,000",1.0,721,06/07/2006,700,Seattle,56.0,2
26030435,S,COND,2152 7th Ave W #C,WA,"$364,900",1.5,900,06/07/2006,700,Seattle,12.0,2
26068239,S,COND,3609 14th Ave W #206,WA,"$225,000",1.0,670,06/07/2006,700,Seattle,14.0,1
26010077,S,COND,2917 Franklin Ave E #2917,WA,"$210,000",1.0,735,06/07/2006,700,Seattle,278.0,1
26041760,S,RESI,2524 Westlake Ave N,WA,"$187,000",0.75,450,06/07/2006,700,Seattle,45.0,2
26060590,S,RESI,1937 10th Ave W,WA,"$718,350",2.0,"2,600",06/08/2006,700,Seattle,25.0,4
26034945,S,RESI,1950 6th Ave W,WA,"$692,000",2.0,"2,400",06/08/2006,700,Seattle,42.0,3
26044166,S,RESI,824 W Argand St,WA,"$680,000",4.0,"3,680",06/09/2006,700,Seattle,53.0,5
26060530,S,RESI,2420 W Armour St,WA,"$620,000",2.75,"1,970",06/09/2006,700,Seattle,24.0,3
26067201,S,RESI,735 W Florentia Place,WA,"$565,000",1.5,"2,220",06/09/2006,700,Seattle,9.0,3
26001553,S,RESI,3422 B 14th Ave W,WA,"$540,000",3.25,"1,789",06/09/2006,700,Seattle,100.0,3
26071153,S,RESI,1920 4th Ave N,WA,"$856,000",1.5,"2,990",06/12/2006,700,Seattle,6.0,4
26075685,S,RESI,2408 Warren Ave N,WA,"$707,000",1.0,"2,540",06/12/2006,700,Seattle,7.0,3
26063223,S,RESI,1429 9th Ave W,WA,"$1,195,000",3.0,"3,300",06/13/2006,700,Seattle,247.0,4
26022088,S,RESI,3212 44th Ave W,WA,"$565,000",2.0,"1,890",06/13/2006,700,Seattle,5.0,4
26054146,S,COND,1008 6th Ave N #202,WA,"$384,900",2.0,880,06/13/2006,700,Seattle,91.0,2
26047175,S,COND,3420 15th Ave W #108,WA,"$229,950",1.0,577,06/13/2006,700,Seattle,67.0,1
26054694,S,COND,3606 22nd Ave W,WA,"$405,000",2.5,"1,420",06/14/2006,700,Seattle,27.0,3
26040208,S,COND,1525 Taylor Ave N #302,WA,"$247,000",1.0,581,06/14/2006,700,Seattle,38.0,1
26053106,S,RESI,2208 Bigelow Ave N,WA,"$1,300,000",2.5,"3,020",06/15/2006,700,Seattle,29.0,4
26061413,S,RESI,3015 28th Ave W,WA,"$842,000",2.25,"3,090",06/15/2006,700,Seattle,10.0,4
26070568,S,RESI,2527 1st Ave N,WA,"$764,000",2.75,"2,610",06/15/2006,700,Seattle,7.0,3
26056473,S,RESI,2128 4th Ave W,WA,"$630,000",2.0,"2,420",06/15/2006,700,Seattle,24.0,4
26051471,S,COND,1808 Bigelow Ave N #102B,WA,"$332,500",1.0,816,06/15/2006,700,Seattle,21.0,1
26068846,S,COND,17 W Mercer St #102,WA,"$330,000",1.0,705,06/15/2006,700,Seattle,19.0,1
26071374,S,COND,1504 Aurora Ave N #509,WA,"$329,000",2.75,834,06/15/2006,700,Seattle,35.0,2
26071711,S,COND,520 2 Ave W #204,WA,"$274,500",1.0,619,06/15/2006,700,Seattle,7.0,1
26052820,S,COND,1525 Taylor Ave N #402,WA,"$255,000",1.0,640,06/16/2006,700,Seattle,39.0,1
26083409,S,COND,275 W Roy St #404,WA,"$272,000",1.0,665,06/17/2006,700,Seattle,10.0,1
26054456,S,COND,3420 15th Ave W #302,WA,"$254,950",1.0,624,06/17/2006,700,Seattle,29.0,1
26079208,S,COND,1525 Taylor Ave N #406,WA,"$265,000",1.0,581,06/18/2006,700,Seattle,6.0,1
26011748,S,RESI,514 B Prospect St #514B,WA,"$945,000",3.25,"2,245",06/19/2006,700,Seattle,83.0,2
26054299,S,RESI,1914 6th Ave W,WA,"$899,000",2.75,"2,600",06/19/2006,700,Seattle,9.0,4
26087934,S,RESI,518 Prospect St,WA,"$700,000",2.5,"1,650",06/19/2006,700,Seattle,176.0,2
26071981,S,RESI,3216 40th Ave W,WA,"$483,000",1.5,"1,450",06/19/2006,700,Seattle,16.0,3
26044271,S,COND,810 Taylor Ave N #228,WA,"$359,950",1.75,960,06/19/2006,700,Seattle,51.0,2
26044748,S,COND,500 ELLIOTT Ave W #302,WA,"$184,900",1.0,453,06/19/2006,700,Seattle,7.0,0
26060937,S,RESI,4257 33rd Ave W,WA,"$475,000",1.0,"1,780",06/20/2006,700,Seattle,21.0,2
26048620,S,RESI,3606 22nd Ave W,WA,"$405,000",2.5,"1,420",06/20/2006,700,Seattle,27.0,3
26020210,S,COND,520 2nd Ave W #211,WA,"$274,500",1.0,597,06/20/2006,700,Seattle,44.0,1
26022862,S,RESI,2009 4th Ave N,WA,"$1,075,000",3.0,"3,000",06/21/2006,700,Seattle,134.0,4
26065447,S,RESI,2202 3rd Ave N,WA,"$699,950",3.25,"2,750",06/21/2006,700,Seattle,33.0,3
26068217,S,RESI,3625 31st Ave W,WA,"$560,000",2.0,"2,620",06/21/2006,700,Seattle,40.0,5
26065005,S,RESI,717 W Cremona St,WA,"$475,000",1.0,"1,140",06/22/2006,700,Seattle,44.0,3
26083375,S,COND,1730 Taylor Ave N #406,WA,"$449,950",1.75,"1,069",06/22/2006,700,Seattle,,2
26080658,S,COND,1740 Aurora Ave N #202,WA,"$349,950",1.0,774,06/22/2006,700,Seattle,11.0,1
26083330,S,COND,2200 Thorndyke Ave W #410,WA,"$241,940",1.0,584,06/22/2006,700,Seattle,,1
26059286,S,RESI,818 W Wheeler St,WA,"$865,450",2.25,"3,120",06/23/2006,700,Seattle,16.0,4
26045538,S,COND,3420 15th Ave W #207,WA,"$237,450",1.0,630,06/23/2006,700,Seattle,23.0,1
26078072,S,RESI,3634 Linden Ave N,WA,"$475,000",1.0,"2,740",06/25/2006,700,Seattle,45.0,4
26075349,S,RESI,111 Newton St,WA,"$780,000",2.0,"2,560",06/26/2006,700,Seattle,35.0,3
26042101,S,RESI,2200 A 11TH Ave W,WA,"$765,000",3.5,"2,400",06/26/2006,700,Seattle,,3
26057067,S,COND,17 W Mercer St #300,WA,"$678,000",1.75,"1,371",06/26/2006,700,Seattle,27.0,2
26051947,S,RESI,"3039 30th Ave W #""B""",WA,"$639,000",3.5,"2,300",06/26/2006,700,Seattle,24.0,3
26083056,S,RESI,2922 Mayfair Ave N,WA,"$935,000",2.5,"2,560",06/27/2006,700,Seattle,8.0,3
26064387,S,COND,2432 Dexter Ave N ##B,WA,"$265,000",1.0,756,06/27/2006,700,Seattle,17.0,1
26083195,S,COND,1730 Taylor Ave N #203,WA,"$259,950",1.0,658,06/29/2006,700,Seattle,4.0,1
26080367,S,RESI,1624 4th Ave W,WA,"$1,575,000",3.5,"3,600",06/30/2006,700,Seattle,67.0,6
26084213,S,RESI,2439 Piedmont Place W,WA,"$740,000",2.5,"2,620",06/30/2006,700,Seattle,8.0,3
26056792,S,RESI,4225 Williams Ave W,WA,"$676,000",2.75,"2,740",06/30/2006,700,Seattle,56.0,5
26075799,S,RESI,2409 28th Ave W,WA,"$610,000",2.75,"2,220",06/30/2006,700,Seattle,9.0,3
26070535,S,RESI,2626 3rd Ave N,WA,"$550,000",1.0,"2,170",06/30/2006,700,Seattle,32.0,3
26070536,S,RESI,3029 23rd Ave W,WA,"$525,000",1.75,"2,000",06/30/2006,700,Seattle,12.0,3
26077240,S,COND,1415 6th Ave N #402,WA,"$506,000",1.75,"1,164",06/30/2006,700,Seattle,13.0,2
26079384,S,RESI,3451 A 22nd Ave W,WA,"$482,500",3.25,"1,851",06/30/2006,700,Seattle,4.0,3
26075973,S,COND,965 W Nickerson #44,WA,"$400,000",1.75,"1,150",06/30/2006,700,Seattle,81.0,2
26029442,S,COND,3636 14th Ave W #301,WA,"$350,000",2.0,"1,145",06/30/2006,700,Seattle,53.0,2
26047623,S,COND,330 W Olympic Place #205,WA,"$319,000",1.0,638,06/30/2006,700,Seattle,30.0,1
26059852,S,COND,3420 15th Ave W #203,WA,"$237,000",1.0,630,06/30/2006,700,Seattle,47.0,1
26073707,S,COND,2510 W Bertona St #317,WA,"$229,000",1.0,769,06/30/2006,700,Seattle,7.0,1
26068581,S,RESI,3225 33rd Ave W,WA,"$579,000",2.75,"3,240",07/01/2006,700,Seattle,80.0,3
26050996,S,COND,900 Aurora Ave N #S307,WA,"$465,000",2.0,"1,378",07/01/2006,700,Seattle,55.0,2
26069290,S,RESI,1003 5th Ave N,WA,"$960,000",3.25,"2,324",07/03/2006,700,Seattle,23.0,3
26070381,S,RESI,3046 42nd Ave W,WA,"$850,000",1.75,"2,890",07/03/2006,700,Seattle,7.0,3
26059037,S,RESI,2582 3rd Ave W,WA,"$735,000",2.25,"2,430",07/03/2006,700,Seattle,37.0,3
10026063113,S,RESI,2634 13th Ave W,WA,"$520,000",1.75,"2,000",07/03/2006,700,Seattle,34.0,3
10126065902,S,RESI,2702 W Elmore St,WA,"$459,000",1.0,"1,640",07/03/2006,700,Seattle,49.0,3
10226065422,S,COND,17 W Mercer St #106,WA,"$333,000",1.0,718,07/03/2006,700,Seattle,35.0,1
10326078200,S,COND,1730 Taylor Ave N #208,WA,"$329,950",1.0,875,07/03/2006,700,Seattle,19.0,2
10426078226,S,COND,1730 Taylor Ave N #307,WA,"$320,000",1.0,824,07/03/2006,700,Seattle,5.0,2
10526083337,S,COND,1730 Taylor Ave N #204,WA,"$259,950",1.0,631,07/03/2006,700,Seattle,6.0,1
10626083067,S,COND,1730 Taylor Ave N #303,WA,"$259,950",1.0,658,07/03/2006,700,Seattle,1.0,1
10726085961,S,COND,1730 Taylor Ave N #106,WA,"$189,950",1.0,576,07/03/2006,700,Seattle,2.0,1
10826038786,S,RESI,3017 42nd Ave W,WA,"$1,650,000",3.5,"4,270",07/05/2006,700,Seattle,41.0,4
10926082173,S,RESI,1555 28th Ave W,WA,"$970,000",2.75,"3,000",07/05/2006,700,Seattle,2.0,3
11026079492,S,RESI,2431 1st Ave W,WA,"$869,000",1.5,"2,450",07/05/2006,700,Seattle,12.0,3
11126069695,S,RESI,163 Hayes St,WA,"$796,000",3.0,"2,390",07/05/2006,700,Seattle,12.0,3
11226090984,S,RESI,2814 28th Ave W,WA,"$750,000",2.0,"2,640",07/05/2006,700,Seattle,5.0,4
11326085253,S,COND,2400 8th Ave N #303-S,WA,"$739,000",2.0,"1,297",07/05/2006,700,Seattle,21.0,2
11426042122,S,RESI,2202 A 11th Ave W,WA,"$699,000",3.5,"2,100",07/05/2006,700,Seattle,13.0,3
11526073032,S,RESI,1937 5th Ave W,WA,"$520,000",1.0,"1,570",07/05/2006,700,Seattle,2.0,2
11626059143,S,COND,1909 10th Ave W #101,WA,"$409,500",1.5,890,07/05/2006,700,Seattle,44.0,2
11726064023,S,COND,2253 Gilman Dr W #404,WA,"$312,000",1.75,"1,051",07/05/2006,700,Seattle,30.0,2
11826074801,S,COND,564 Highland Dr #102,WA,"$205,000",1.0,535,07/05/2006,700,Seattle,125.0,1
11926048603,S,RESI,314 W Prospect St,WA,"$1,600,000",2.5,"2,730",07/06/2006,700,Seattle,59.0,3
12026065897,S,RESI,3219 43rd Ave W,WA,"$995,000",2.5,"3,120",07/06/2006,700,Seattle,8.0,4
12126028344,S,RESI,2903 28th Ave W,WA,"$980,000",2.25,"2,670",07/06/2006,700,Seattle,67.0,4
12226056234,S,RESI,1604 30th Ave W,WA,"$860,000",1.75,"3,360",07/06/2006,700,Seattle,36.0,4
12426082876,S,RESI,2536 1st Ave W,WA,"$729,000",2.25,"2,580",07/06/2006,700,Seattle,15.0,3
12626075122,S,RESI,1958 31st Ave W,WA,"$584,000",2.25,"2,690",07/06/2006,700,Seattle,32.0,3
12726069105,S,COND,2100 Thorndyke Ave W #101,WA,"$475,000",2.0,"1,470",07/06/2006,700,Seattle,289.0,2
12826057101,S,COND,1000 Aurora Ave N #N210,WA,"$415,000",2.0,"1,205",07/06/2006,700,Seattle,148.0,2
